sign_id,label,shape_family,suggested_base_freq_Hz,suggested_harmonic_overlay,hypoth_trade_assoc,rationale
S-001,JAR,family_1,90,"[180,270]",AGRICULTURE,Hypothesized from shape complexity and archaeological context (working model).
S-002,UNICORN_BULL,family_2,125,"[250,375]",METALLURGY,Hypothesized from shape complexity and archaeological context (working model).
S-003,THREE_DOTS,family_3,170,"[340,510]",RITUAL,Hypothesized from shape complexity and archaeological context (working model).
S-004,COMPOUND_DEITY,family_4,215,"[430,645]",TRADE,Hypothesized from shape complexity and archaeological context (working model).
S-005,WAVE_LINE,family_5,260,"[520,780]",ADMIN,Hypothesized from shape complexity and archaeological context (working model).
S-006,KNIFE,family_6,325,"[650,975]",TEXTILE,Hypothesized from shape complexity and archaeological context (working model).
S-007,ANCHOR_LIKE,family_7,390,"[780,1170]",SHIPPING,Hypothesized from shape complexity and archaeological context (working model).
S-008,CROSS_HATCH,family_8,420,"[840,1260]",IDENTITY,Hypothesized from shape complexity and archaeological context (working model).
S-009,TRIANGULAR,family_9,485,"[970,1455]",NUMERIC,Hypothesized from shape complexity and archaeological context (working model).
S-010,VERTICAL_STROKE,family_10,550,"[1100,1650]",ENERGY,Hypothesized from shape complexity and archaeological context (working model).
S-011,FISH,family_1,615,"[1230,1845]",AGRICULTURE,Hypothesized from shape complexity and archaeological context (working model).
S-012,TREE,family_2,740,"[1480,2220]",METALLURGY,Hypothesized from shape complexity and archaeological context (working model).
S-013,HUMANOID,family_3,925,"[1850,2775]",RITUAL,Hypothesized from shape complexity and archaeological context (working model).
S-014,MOUNTAIN,family_4,1230,"[2460,3690]",TRADE,Hypothesized from shape complexity and archaeological context (working model).
S-015,SCEPTER,family_5,1500,"[3000,4500]",ADMIN,Hypothesized from shape complexity and archaeological context (working model).
S-016,BIRD,family_6,1805,"[3610,5415]",TEXTILE,Hypothesized from shape complexity and archaeological context (working model).
S-017,CRESCENT,family_7,2110,"[4220,6330]",SHIPPING,Hypothesized from shape complexity and archaeological context (working model).
